PAIR,SIDE,HALF_LIFE,MEAN_REVERSION_RATIO,TRADE_PRICE_RATIO
ACEUSDT/SNXUSDT,long,4.29,1.49757,1.43313
ACHUSDT/ALTUSDT,short,2.72,0.17427,0.19829
ACHUSDT/ARBUSDT,short,0.78,0.03483,0.03771
ACHUSDT/DOTUSDT,short,0.71,0.00458,0.00488
ACHUSDT/LSKUSDT,short,0.76,0.02342,0.02508
ACHUSDT/TIAUSDT,short,0.79,0.00349,0.00397
ACHUSDT/XVGUSDT,short,0.94,5.04931,5.29864
AERGOUSDT/DOGSUSDT,short,1.09,136.65084,159.69523
ALPACAUSDT/FLOWUSDT,long,1.2,0.28786,0.27505
ALPACAUSDT/KNCUSDT,long,1.44,0.34791,0.32787
ANKRUSDT/BANDUSDT,long,0.7,0.0234,0.0228
BICOUSDT/TONUSDT,long,0.86,0.03997,0.03705
DYDXUSDT/PENDLEUSDT,long,2.21,0.23416,0.20614
ENJUSDT/OPUSDT,long,0.78,0.09135,0.08763
ETCUSDT/FILUSDT,short,0.78,5.10204,5.23784
FLMUSDT/SYSUSDT,short,1.53,0.54451,0.56119
GLMUSDT/ORDIUSDT,long,0.74,0.00935,0.00889
HOOKUSDT/TRBUSDT,long,0.73,0.00681,0.00652
IOTXUSDT/POLYXUSDT,short,0.92,0.16523,0.17628
JASMYUSDT/RAREUSDT,short,0.89,0.16611,0.1769
LRCUSDT/STRKUSDT,short,1.17,0.30753,0.31984
MANAUSDT/ZILUSDT,short,0.73,20.35602,20.99262
OMUSDT/SUIUSDT,long,20.39,0.73133,0.67526
QTUMUSDT/XTZUSDT,long,0.83,3.61713,3.53019
SANDUSDT/TIAUSDT,short,0.89,0.04708,0.05029
TUSDT/XVSUSDT,long,0.7,0.00326,0.00312
