PAIR,SIDE,HALF_LIFE,MEAN_REVERSION_RATIO,TRADE_PRICE_RATIO
ACHUSDT/BAKEUSDT,short,0.93,0.07636,0.08095
ACHUSDT/CHRUSDT,short,1.14,0.10481,0.12026
AERGOUSDT/REZUSDT,short,2.54,2.53797,2.90469
AEVOUSDT/DOGSUSDT,short,0.91,474.86649,543.15577
ALTUSDT/HBARUSDT,long,14.69,2.10496,1.88004
BSWUSDT/COTIUSDT,short,3.55,0.59614,0.62158
COSUSDT/IMXUSDT,short,0.8,0.00467,0.00524
COTIUSDT/MAVUSDT,short,3.87,0.54979,0.59231
COTIUSDT/VANRYUSDT,short,19.59,1.16313,1.2234
CRVUSDT/FETUSDT,short,1.12,0.18532,0.19515
DENTUSDT/POLYXUSDT,short,0.7,0.00359,0.00372
DENTUSDT/STRKUSDT,short,0.71,0.00215,0.00227
DYMUSDT/GMXUSDT,long,0.91,0.07222,0.06518
DYMUSDT/SANDUSDT,long,1.48,6.27736,5.7556
ETHUSDT/RPLUSDT,short,0.7,234.48582,247.27389
ETHUSDT/SPELLUSDT,short,0.7,4497223.89071,4809946.33959
FILUSDT/VETUSDT,short,0.7,160.4248,163.88503
FIOUSDT/LQTYUSDT,long,1.17,0.03676,0.03192
FLUXUSDT/QNTUSDT,long,0.71,0.00811,0.00776
FTMUSDT/STRKUSDT,short,15.18,1.65633,1.82706
GRTUSDT/XVSUSDT,long,0.76,0.0225,0.02122
HOOKUSDT/NKNUSDT,long,0.9,6.023,5.56296
HOOKUSDT/TRBUSDT,long,0.72,0.00681,0.00643
KNCUSDT/NFPUSDT,short,2.51,2.08862,2.24497
LOKAUSDT/TONUSDT,long,0.9,0.03807,0.0353
LUNAUSDT/TONUSDT,long,0.77,0.07,0.06625
MASKUSDT/NEOUSDT,short,1.32,0.22685,0.241
NEOUSDT/NOTUSDT,short,0.73,1303.00439,1391.09932
NEOUSDT/RSRUSDT,short,0.7,1525.62311,1584.69028
OGNUSDT/SYSUSDT,long,11.12,0.83545,0.7972
RAREUSDT/XRPUSDT,long,1.5,0.21846,0.19693
SSVUSDT/XRPUSDT,long,0.86,39.72192,37.34706
XVGUSDT/XVSUSDT,long,0.71,0.00053,0.00051
