PAIR,SIDE,HALF_LIFE,MEAN_REVERSION_RATIO,TRADE_PRICE_RATIO
ETHUSDT/ONEUSDT,short,0.70,190458.0114,0.000005
ETCUSDT/RSRUSDT,short,0.70,2829.77238,0.000328
AAVEUSDT/ICXUSDT,short,0.71,1084.00795,1130.57785
COSUSDT/EOSUSDT,short,0.71,0.01477,0.015159
SNXUSDT/TRBUSDT,short,0.71,0.02294,0.02434
ACEUSDT/GMXUSDT,long,0.78,0.09708,0.093542
