PAIR,SIDE,HALF_LIFE,MEAN_REVERSION_RATIO,TRADE_PRICE_RATIO
AAVEUSDT/IOSTUSDT,short,0.7,29746.99818,31136.65944
ACHUSDT/ZRXUSDT,long,0.87,0.06051,0.05749
AXSUSDT/RVNUSDT,long,0.72,281.38282,266.30682
BANDUSDT/THETAUSDT,short,15.18,0.88327,0.91819
BBUSDT/KSMUSDT,long,0.75,0.01721,0.01626
COMPUSDT/TRBUSDT,short,4.54,0.69324,0.72751
DENTUSDT/REIUSDT,long,0.73,0.01545,0.0148
DYMUSDT/TIAUSDT,long,1.64,0.29612,0.27508
EGLDUSDT/NFPUSDT,short,0.72,120.28857,125.98219
ETHUSDT/MANAUSDT,short,0.7,8397.64116,8683.44899
ETHUSDT/ONEUSDT,short,0.7,190497.97181,204792.96236
FLOWUSDT/NFPUSDT,short,1.63,2.52658,2.70299
HOOKUSDT/ONTUSDT,long,1.58,2.35636,2.25057
HOTUSDT/LITUSDT,short,0.7,0.00252,0.00262
ICPUSDT/LUNAUSDT,short,0.81,22.01315,23.45808
INJUSDT/VETUSDT,long,0.71,899.95083,850.52728
INJUSDT/XVGUSDT,long,0.71,5341.26341,5124.30939
LITUSDT/TLMUSDT,short,0.72,62.68992,64.83051
LUNCUSDT/ONGUSDT,short,0.73,0.00029,0.00031
MASKUSDT/STXUSDT,short,20.73,1.29441,1.41218
MTLUSDT/NTRNUSDT,short,2.84,2.4228,2.58383
NKNUSDT/SNXUSDT,long,0.72,0.04923,0.04703
NULSUSDT/VANRYUSDT,short,1.33,3.74808,4.00935
ONTUSDT/RPLUSDT,long,0.72,0.01749,0.01666
OPUSDT/ORDIUSDT,short,0.76,0.04776,0.04997
OPUSDT/QTUMUSDT,short,3.45,0.67892,0.70872
ORDIUSDT/REZUSDT,short,0.71,859.91523,925.54745
PIXELUSDT/TNSRUSDT,long,2.51,0.38756,0.35965
PORTALUSDT/REIUSDT,long,1.13,5.24442,4.87009
RSRUSDT/TUSDT,long,1.1,0.28126,0.26964
RSRUSDT/ZILUSDT,long,1.57,0.45359,0.43208
SSVUSDT/TUSDT,long,0.7,927.5697,876.60897
SSVUSDT/VETUSDT,long,0.71,953.4936,905.54791
