PAIR,SIDE,HALF_LIFE,MEAN_REVERSION_RATIO,TRADE_PRICE_RATIO
1000LUNCUSDT/GALAUSDT,long,1.95,4.22086,3.86384
1000LUNCUSDT/WOOUSDT,long,4.51,0.49212,0.44282
ACHUSDT/MEMEUSDT,long,17.42,1.78953,1.52406
ACHUSDT/PIXELUSDT,long,1.33,0.13942,0.12845
ACHUSDT/ZRXUSDT,long,0.9,0.06153,0.05637
AGLDUSDT/AXLUSDT,long,21.93,1.50803,1.35826
ALICEUSDT/PERPUSDT,long,3.61,1.69591,1.58332
AMBUSDT/LOKAUSDT,long,0.84,0.03342,0.03138
ARUSDT/COSUSDT,long,0.71,2742.63537,2550.62945
ARUSDT/GLMRUSDT,long,0.72,116.62876,109.32551
ARUSDT/LPTUSDT,long,4.09,1.54984,1.46645
AXSUSDT/HIGHUSDT,short,0.9,3.58322,3.71777
BADGERUSDT/CTSIUSDT,short,0.73,21.82422,22.54829
BELUSDT/CHRUSDT,short,1.34,2.9416,3.06606
BELUSDT/IOTAUSDT,short,1.1,4.35762,4.70949
BICOUSDT/GLMRUSDT,long,6.82,1.28616,1.2176
BICOUSDT/JASMYUSDT,long,0.76,10.75365,10.28232
BNTUSDT/ONEUSDT,long,0.73,38.02962,36.18785
COMBOUSDT/PIXELUSDT,long,1.74,2.98462,2.7782
CTKUSDT/WOOUSDT,short,1.8,3.08936,3.38297
DGBUSDT/OXTUSDT,short,0.75,0.09096,0.09391
DUSKUSDT/IDEXUSDT,long,1.05,5.28884,4.91997
HIGHUSDT/MAGICUSDT,long,0.98,3.74554,3.51802
HOTUSDT/VOXELUSDT,short,0.71,0.01027,0.0107
INJUSDT/XAIUSDT,long,0.75,100.50108,94.95575
INJUSDT/ZILUSDT,long,0.71,1417.82042,1349.68553
JOEUSDT/TRBUSDT,long,0.71,0.00538,0.00518
ONGUSDT/SKLUSDT,long,1.24,8.39865,7.72783
OPUSDT/XAIUSDT,long,0.88,8.03228,7.66372
ORDIUSDT/XAIUSDT,long,0.73,168.01676,158.58407
POLYXUSDT/SANDUSDT,short,16.25,0.90969,0.94578
RPLUSDT/WAXPUSDT,short,0.71,320.23325,337.40762
RVNUSDT/TLMUSDT,long,2.16,1.63324,1.58692
SCUSDT/YGGUSDT,long,0.79,0.01035,0.00965
SNTUSDT/SOLUSDT,long,0.7,0.00016,0.00015
UMAUSDT/USTCUSDT,long,0.74,128.57922,116.55914
